session_id,station_id,session_date,kwh_delivered,duration_minutes,revenue_usd
48,260387,2025-09-05,22.85,78,38.17
49,149299,2025-08-22,7.25,132,38.07
50,355663,2025-04-28,9.37,70,25.64
51,261350,2025-09-17,27.39,79,38.07
52,223134,2025-08-18,29.11,144,30.23
53,449739,2025-10-17,11.61,103,31.32
54,390487,2025-08-29,54.68,133,26.69
55,384678,2025-11-28,12.77,54,31.83
56,154336,2025-07-01,29.97,26,6.46
57,301954,2025-11-13,5.87,51,9.25
58,373017,2025-04-11,10.89,26,27.46
59,397106,2025-09-05,19.75,154,3.82
60,347524,2025-12-15,1.0,85,38.14
61,169289,2025-12-24,1.07,116,27.92
62,278741,2025-04-23,7.86,87,33.39
63,252137,2025-08-09,43.97,52,33.14
64,223141,2025-12-05,6.1,31,31.01
65,448193,2025-05-28,54.26,100,10.46
66,206305,2025-10-23,31.47,117,14.92
67,452523,2025-07-16,29.19,53,23.59
68,189899,2025-03-10,28.03,97,12.16
69,357950,2025-10-15,93.57,54,17.21
70,118946,2025-01-24,25.11,124,33.27
71,224509,2025-07-05,26.19,37,32.14
72,174770,2025-06-19,15.1,145,27.67
73,324801,2025-10-18,51.45,138,5.54
74,261196,2025-02-01,1.48,100,27.5
75,261348,2025-10-28,10.55,55,8.12
76,182190,2025-06-25,8.45,86,4.7
77,390085,2025-12-30,12.69,96,33.41
78,225121,2025-12-08,16.34,107,7.55
79,115242,2025-06-26,78.14,77,8.5
80,319705,2025-10-17,64.59,109,10.6
81,324863,2025-05-24,23.62,138,14.99
82,332469,2025-01-11,1.0,77,3.57
83,169060,2025-05-27,20.28,171,14.82
84,333985,2025-12-14,1.77,137,5.0
85,367652,2025-11-06,11.15,116,3.69
86,384427,2025-07-14,9.08,160,18.1
87,146604,2025-03-17,26.11,106,28.5
88,226519,2025-06-09,1.0,59,19.31
89,252714,2025-04-10,38.86,116,39.3
90,185189,2025-04-26,43.78,52,32.46
91,253428,2025-03-24,1.0,131,24.55
92,341691,2025-11-08,2.13,28,5.67
93,115041,2025-03-04,63.36,152,33.64
94,451467,2025-05-12,23.93,47,38.06
95,324828,2025-09-05,80.69,134,19.49
96,309352,2025-05-11,15.29,44,31.28
97,384286,2025-06-07,5.29,72,17.98
98,197068,2025-08-04,11.56,79,12.11
99,115025,2025-11-22,66.12,33,7.09
100,115070,2025-02-03,3.06,126,39.12
101,193750,2025-11-28,55.69,33,8.67
102,440899,2025-10-25,18.86,54,36.53
103,252711,2025-10-06,1.82,147,37.51
104,223247,2025-10-23,12.76,167,35.65
105,447085,2025-01-15,6.97,175,29.5
106,227773,2025-04-25,21.41,70,18.08
107,189535,2025-02-26,4.14,173,19.38
108,194966,2025-05-22,70.87,130,16.58
109,226618,2025-07-26,5.93,173,16.38
110,323426,2025-05-20,25.05,30,35.94
111,324852,2025-04-17,44.48,103,11.23
112,217448,2025-10-18,22.65,132,16.0
113,164860,2025-03-19,26.65,167,30.09
114,131661,2025-01-02,13.16,109,6.99
115,279336,2025-10-01,2.69,93,30.19
116,229921,2025-02-04,3.52,152,29.98
117,225560,2025-09-22,30.28,117,16.05
118,192949,2025-08-06,39.89,119,34.88
119,253293,2025-03-08,46.18,90,17.89
120,203140,2025-03-10,11.26,137,33.58
121,416968,2025-08-12,86.73,76,36.69
122,223117,2025-12-27,25.65,136,11.77
123,254422,2025-10-21,4.17,21,27.51
124,115251,2025-11-22,1.74,17,37.14
125,236287,2025-07-22,19.68,168,25.49
126,236896,2025-03-22,33.78,68,10.35
127,197067,2025-03-07,1.0,80,33.33
128,227082,2025-10-24,1.0,46,22.96
129,455576,2025-10-07,21.59,53,39.4
130,254202,2025-09-18,100.0,27,15.71
131,352116,2025-10-04,33.44,80,10.49
132,181108,2025-01-06,4.11,89,37.21
133,230435,2025-05-12,2.28,179,24.79
134,153434,2025-09-22,42.1,135,28.26
135,227775,2025-11-21,41.49,125,5.65
136,451865,2025-03-09,15.26,96,28.64
137,324799,2025-05-06,1.0,29,12.51
138,387610,2025-11-11,36.34,101,15.02
139,149299,2025-06-20,13.27,73,31.71
140,189899,2025-12-02,42.37,108,26.51
141,202163,2025-01-29,3.89,87,36.15
142,115067,2025-06-25,15.56,103,29.63
143,180741,2025-11-03,18.68,61,18.16
144,238139,2025-10-19,11.54,60,18.99
145,254365,2025-11-28,100.0,101,26.46
146,395689,2025-04-15,35.98,89,10.75
147,115158,2025-02-14,44.32,66,21.01
148,404896,2025-04-11,6.9,59,5.88
149,456802,2025-08-14,12.14,141,20.18
150,254304,2025-04-14,2.94,138,11.93
151,448756,2025-09-19,100.0,154,36.76
152,396998,2025-09-10,7.45,95,31.49
153,451990,2025-06-14,2.65,67,6.51
154,377459,2025-10-19,5.74,73,32.37
155,194269,2025-07-31,21.19,169,25.26
156,456801,2025-05-24,10.22,44,22.54
157,235734,2025-08-24,4.48,39,9.9
158,384347,2025-01-22,15.79,136,31.25
159,455980,2025-03-10,27.75,164,22.91
160,185189,2025-03-10,27.32,95,14.23
161,317050,2025-09-03,1.0,65,11.45
162,371688,2025-03-04,35.2,116,30.86
163,164738,2025-08-25,6.9,45,5.14
164,115082,2025-11-27,63.83,154,25.93
165,187174,2025-12-29,3.73,26,39.61
166,279338,2025-01-19,12.75,34,37.0
167,193535,2025-08-19,9.36,63,38.82
168,154172,2025-08-17,16.9,91,30.29
169,193395,2025-12-24,9.41,124,9.9
170,250739,2025-05-07,36.88,131,38.62
171,384678,2025-05-26,12.03,111,36.26
172,115165,2025-11-25,10.77,105,11.94
173,180102,2025-04-24,88.72,88,32.46
174,415880,2025-08-31,12.91,139,17.84
175,375217,2025-05-25,3.48,138,28.04
176,439736,2025-02-10,7.8,118,14.87
177,251159,2025-06-10,32.13,128,8.39
178,143572,2025-12-04,7.59,52,27.5
179,162304,2025-03-18,28.52,146,6.63
180,421860,2025-06-17,61.58,25,7.49
181,384849,2025-10-11,11.71,74,11.41
182,324880,2025-04-20,5.35,82,34.34
183,224225,2025-07-14,31.54,109,19.34
184,204500,2025-08-16,14.4,74,20.79
185,421600,2025-06-16,1.18,75,27.57
186,257177,2025-01-21,21.6,83,36.33
187,451389,2025-06-14,21.72,57,27.54
188,350373,2025-05-10,28.62,102,38.37
189,200496,2025-09-19,33.23,140,5.37
190,371756,2025-02-21,25.93,81,34.24
191,223833,2025-09-18,10.32,50,27.83
192,115250,2025-06-24,45.1,153,21.89
193,162236,2025-10-26,68.44,147,11.3
194,357026,2025-04-06,8.99,68,14.18
195,171725,2025-12-23,8.28,27,8.15
196,227977,2025-02-09,17.99,154,22.67
197,422193,2025-07-28,100.0,30,28.05
198,225118,2025-05-22,4.46,52,29.31
199,86200,2025-09-15,17.08,89,6.13
200,193187,2025-06-16,5.4,166,20.37
201,183460,2025-07-10,13.19,113,9.32
202,377462,2025-11-15,11.91,38,29.76
203,346157,2025-04-29,21.15,130,29.86
204,174731,2025-05-26,1.0,52,34.91
205,324764,2025-12-16,41.16,108,38.55
206,235289,2025-12-01,30.89,177,26.98
207,262554,2025-05-09,100.0,35,29.4
208,439827,2025-05-25,7.38,132,12.84
209,180119,2025-02-23,50.59,159,39.81
210,174642,2025-05-02,23.56,102,20.92
211,88498,2025-05-04,6.57,41,10.87
212,115035,2025-06-16,8.76,108,19.9
213,350795,2025-11-18,1.0,135,16.57
214,228500,2025-05-23,10.52,91,17.8
215,234635,2025-01-22,57.42,81,26.02
216,331363,2025-10-03,1.96,42,29.6
217,223122,2025-12-15,65.81,67,10.68
218,333804,2025-10-26,11.93,164,38.98
219,371777,2025-10-04,33.76,32,24.92
220,236639,2025-10-31,26.86,48,22.58
221,388245,2025-11-18,27.91,152,3.35
222,261348,2025-04-25,19.87,52,28.05
223,374813,2025-09-29,15.6,175,39.95
224,44360,2025-06-17,65.87,166,27.86
225,417031,2025-10-04,28.49,27,29.61
226,261063,2025-12-23,23.84,142,4.09
227,428695,2025-09-21,13.54,121,35.61
228,357064,2025-09-07,6.37,173,36.58
229,163485,2025-09-12,1.0,152,35.47
230,195911,2025-12-08,98.72,74,30.13
231,310602,2025-02-27,35.3,16,10.56
232,150637,2025-01-05,100.0,144,10.24
233,313643,2025-04-21,36.76,39,30.36
234,202335,2025-12-31,1.16,108,11.38
235,115212,2025-10-13,14.68,158,9.38
236,261050,2025-12-17,3.1,141,35.81
237,194168,2025-09-22,40.4,98,26.22
238,308827,2025-09-06,5.14,148,10.54
239,114999,2025-04-05,26.8,134,6.83
240,120968,2025-12-17,26.86,42,11.76
241,417417,2025-10-24,25.46,84,26.08
242,228788,2025-11-03,52.67,15,18.37
243,227080,2025-07-04,32.34,59,6.42
244,165558,2025-08-17,9.92,120,20.88
245,188176,2025-11-13,9.45,28,7.08
246,154704,2025-09-19,1.0,41,18.24
247,175724,2025-04-29,59.73,92,7.46
248,115005,2025-08-22,2.73,142,20.61
249,372729,2025-10-09,16.31,23,39.14
250,347945,2025-07-21,17.76,36,20.1
251,186632,2025-09-19,14.85,147,14.16
252,391713,2025-02-22,21.35,177,4.2
253,92004,2025-11-13,32.66,170,6.47
254,170122,2025-06-10,5.46,108,34.42
255,205826,2025-09-01,1.91,151,7.21
256,162323,2025-04-04,48.7,127,25.21
257,298593,2025-02-09,17.07,104,7.5
258,334018,2025-10-07,3.41,99,10.22
259,174099,2025-04-02,27.87,95,21.18
260,217448,2025-10-28,6.31,176,5.24
261,114947,2025-02-07,2.13,123,29.69
262,118946,2025-08-31,8.3,25,17.84
263,453524,2025-12-30,8.81,92,16.7
264,324849,2025-05-16,50.71,106,16.11
265,174766,2025-03-05,9.18,120,4.54
266,451389,2025-12-09,37.88,51,8.67
267,375125,2025-12-29,21.52,73,14.41
268,115025,2025-07-20,2.49,97,33.12
269,173885,2025-11-03,4.25,140,27.35
270,189518,2025-09-19,2.09,54,37.06
271,384364,2025-06-24,12.83,127,33.2
272,421018,2025-06-26,87.57,88,9.09
273,384416,2025-03-26,4.99,178,22.24
274,115145,2025-06-09,10.47,94,21.86
275,384355,2025-07-01,42.87,29,27.04
276,434733,2025-02-05,52.14,96,6.02
277,189521,2025-12-11,33.24,20,32.19
278,225483,2025-04-09,15.73,56,13.53
279,328784,2025-08-14,26.17,123,37.26
280,238142,2025-02-06,14.95,126,37.31
281,257680,2025-09-30,47.2,121,10.59
282,224228,2025-09-29,13.19,101,37.33
283,428695,2025-07-05,42.57,107,15.66
284,223268,2025-02-18,22.03,125,11.72
285,333723,2025-04-04,18.41,45,18.01
286,445970,2025-11-03,26.71,105,8.33
287,334505,2025-08-14,8.64,49,22.63
288,390654,2025-01-05,12.45,41,10.19
289,223249,2025-12-19,40.87,176,36.71
290,164403,2025-06-23,12.11,39,39.45
291,389792,2025-07-02,26.5,83,7.73
292,147469,2025-03-14,27.23,99,10.84
293,226487,2025-05-25,50.96,89,26.73
294,190055,2025-06-01,14.66,134,31.15
295,189504,2025-02-25,58.21,148,28.7
296,346709,2025-07-02,100.0,119,8.78
297,371756,2025-05-02,4.63,61,13.48
298,189363,2025-09-01,31.42,70,30.83
299,115037,2025-07-23,29.96,168,9.69
300,349132,2025-03-20,15.23,42,4.24
301,202633,2025-01-16,9.05,85,6.93
302,310602,2025-05-06,1.0,143,22.87
303,372310,2025-03-28,25.28,131,36.79
304,261208,2025-10-05,9.48,119,35.56
305,114932,2025-12-17,20.08,99,22.73
306,357030,2025-02-12,3.26,143,28.62
307,114888,2025-03-20,1.13,95,16.36
308,356989,2025-10-04,40.54,98,38.6
309,324893,2025-09-21,3.28,159,12.59
310,358717,2025-11-01,3.69,169,25.98
311,421224,2025-08-16,21.13,58,26.17
312,356031,2025-05-05,32.84,18,31.29
313,355501,2025-04-16,1.0,175,39.45
314,227087,2025-08-18,14.59,143,13.99
315,171553,2025-05-14,24.94,25,20.89
316,180107,2025-03-22,33.49,150,37.6
317,372477,2025-12-26,73.87,72,25.45
318,388949,2025-04-19,1.0,74,18.69
319,218663,2025-06-24,57.22,44,26.43
320,174492,2025-06-13,85.04,66,17.85
321,449739,2025-05-05,50.2,54,28.46
322,223126,2025-12-14,74.34,145,27.63
323,223267,2025-01-23,3.15,173,37.67
324,349133,2025-11-27,100.0,78,9.55
325,115220,2025-03-03,36.23,119,9.76
326,334507,2025-07-31,1.8,82,13.82
327,193838,2025-09-09,28.4,86,30.69
328,152158,2025-04-06,30.36,178,21.84
329,162150,2025-07-28,24.81,16,22.03
330,262443,2025-02-26,51.92,145,31.25
331,334480,2025-08-22,34.53,142,33.87
332,192639,2025-12-24,4.41,109,22.8
333,181482,2025-11-22,7.2,24,3.05
334,373113,2025-03-06,15.56,168,15.52
335,331104,2025-10-20,12.56,133,8.97
336,434937,2025-11-20,27.19,16,27.37
337,235395,2025-11-27,3.67,28,7.56
338,229075,2025-01-17,10.94,16,3.67
339,323912,2025-05-15,6.95,76,21.67
340,123141,2025-11-04,8.69,73,34.48
341,157965,2025-05-10,31.02,32,34.7
342,302462,2025-02-06,2.1,105,31.47
343,235291,2025-09-07,54.59,151,30.78
344,347350,2025-02-26,25.61,74,37.03
345,391712,2025-12-23,13.26,67,26.25
346,181846,2025-01-10,16.63,110,12.4
347,450166,2025-03-22,29.95,153,3.35
348,115119,2025-03-31,32.8,163,7.31
349,349820,2025-04-30,40.83,111,21.76
350,356922,2025-04-12,7.65,111,15.2
351,457452,2025-01-27,48.77,160,27.77
352,197696,2025-09-18,44.39,166,22.69
353,384362,2025-03-02,48.29,154,24.67
354,181728,2025-05-16,2.11,142,6.95
355,114957,2025-04-07,3.88,20,29.32
356,180127,2025-05-29,24.5,21,34.48
357,260390,2025-08-15,76.44,136,21.29
358,227083,2025-10-04,2.91,32,11.69
359,229068,2025-11-03,33.57,100,23.99
360,387134,2025-12-01,3.66,77,20.38
361,346711,2025-08-16,75.13,51,6.03
362,114883,2025-11-11,40.25,65,27.45
363,391816,2025-09-06,8.5,34,28.46
364,324888,2025-09-15,1.22,178,7.08
365,223118,2025-11-10,14.35,171,37.65
366,388189,2025-08-08,18.61,57,29.79
367,217408,2025-08-24,18.72,122,22.34
368,257688,2025-01-20,47.75,142,24.12
369,334421,2025-12-11,98.95,35,17.89
370,449843,2025-05-18,14.14,80,33.76
371,334522,2025-07-08,4.47,122,24.94
372,324872,2025-04-15,11.83,171,9.35
373,250874,2025-04-08,31.13,33,29.08
374,115047,2025-09-27,21.91,176,23.22
375,384355,2025-06-02,2.27,150,24.12
376,150637,2025-08-06,5.89,160,28.5
377,384380,2025-01-21,29.57,18,23.54
378,230418,2025-09-29,29.94,160,3.05
379,166207,2025-07-21,23.48,125,7.64
380,162162,2025-06-09,8.7,62,26.22
381,341802,2025-03-05,4.46,22,17.97
382,174731,2025-03-25,6.5,33,15.17
383,451826,2025-03-14,41.2,132,5.08
384,357009,2025-03-01,16.76,166,34.34
385,193751,2025-12-20,10.82,141,3.55
386,453137,2025-05-27,3.65,63,16.72
387,311813,2025-02-16,12.46,134,10.54
388,326305,2025-08-11,13.52,158,6.42
389,174120,2025-06-07,54.3,68,23.82
390,428432,2025-02-16,70.38,79,22.72
391,450022,2025-10-16,45.73,59,38.38
392,360823,2025-07-29,12.28,29,8.62
393,347297,2025-01-21,20.48,23,33.39
394,360492,2025-12-17,46.0,96,31.64
395,347365,2025-11-15,1.29,18,20.76
396,399680,2025-08-19,19.03,142,5.41
397,202139,2025-10-25,12.71,149,7.08
398,162258,2025-04-15,11.99,64,36.32
399,375220,2025-05-06,10.77,143,20.81
400,428413,2025-10-26,25.57,160,12.42
401,162296,2025-03-09,13.5,149,20.49
402,191761,2025-01-26,9.72,148,30.98
403,253801,2025-06-10,20.89,176,33.36
404,434012,2025-04-18,11.68,57,15.02
405,252143,2025-10-16,1.0,163,6.17
406,223295,2025-11-01,13.52,128,26.54
407,191103,2025-03-25,5.46,101,21.73
408,333819,2025-02-10,2.63,143,5.77
409,308807,2025-07-19,51.51,57,32.6
410,404842,2025-02-05,29.43,177,31.03
411,325991,2025-12-17,11.99,75,31.3
412,164403,2025-08-22,100.0,161,13.98
413,347382,2025-08-30,11.44,68,18.1
414,449581,2025-12-05,7.01,77,15.25
415,259681,2025-01-20,16.04,20,29.73
416,181986,2025-12-09,72.77,109,30.85
417,374863,2025-06-01,27.26,138,12.94
418,174452,2025-06-20,32.79,28,20.93
419,428695,2025-08-04,4.52,30,6.08
420,255411,2025-12-22,1.02,135,36.44
421,358440,2025-11-25,19.26,74,33.89
422,377520,2025-08-20,10.02,171,30.79
423,420069,2025-01-16,1.09,117,32.65
424,324797,2025-10-10,56.62,120,24.19
425,254422,2025-10-28,1.0,97,37.05
426,223292,2025-06-14,1.0,75,17.01
427,162290,2025-09-26,8.89,111,26.72
428,347297,2025-06-28,17.19,108,7.6
429,221910,2025-09-15,14.98,28,39.71
430,308688,2025-03-17,11.16,173,14.59
431,310927,2025-04-15,49.84,32,39.24
432,415742,2025-12-19,8.83,18,28.27
433,451665,2025-03-28,26.45,178,20.23
434,164639,2025-11-11,12.71,91,23.13
435,386981,2025-01-14,12.3,67,13.74
436,114914,2025-12-25,67.51,24,23.32
437,257690,2025-10-13,29.89,115,13.85
438,164149,2025-09-04,19.32,141,35.0
439,359304,2025-08-29,4.8,74,26.95
440,326000,2025-12-20,3.7,18,12.17
441,189517,2025-01-09,5.38,152,8.19
442,162292,2025-01-24,24.65,122,4.95
443,121068,2025-04-22,1.44,42,12.87
444,335655,2025-10-24,15.6,105,29.19
445,311813,2025-08-05,15.39,20,14.54
446,347309,2025-08-16,62.47,37,26.57
447,157960,2025-02-01,11.55,119,36.13
448,347373,2025-10-04,56.73,95,38.98
449,374752,2025-06-19,23.87,79,30.92
450,388554,2025-08-19,12.36,81,27.64
451,351779,2025-03-11,18.69,122,29.12
452,157961,2025-04-21,2.47,139,8.3
453,171482,2025-03-30,55.1,60,29.96
454,451870,2025-01-02,24.96,170,19.49
455,374654,2025-02-25,14.3,73,10.74
456,347366,2025-06-07,37.37,62,5.38
457,443025,2025-09-28,12.96,168,19.53
458,152450,2025-10-01,15.45,103,9.84
459,360887,2025-02-01,13.71,112,26.15
460,143201,2025-09-27,100.0,71,10.55
461,325258,2025-07-09,36.76,42,16.18
462,384787,2025-07-29,66.05,43,31.44
463,349820,2025-11-04,11.94,27,31.83
464,316284,2025-01-22,16.84,142,6.05
465,359128,2025-01-14,5.62,117,32.47
466,223134,2025-07-25,1.0,162,31.86
467,357264,2025-02-03,5.42,133,17.85
468,115137,2025-12-08,66.1,164,23.11
469,229204,2025-02-25,15.24,27,38.22
470,114991,2025-08-28,3.51,86,28.2
471,189255,2025-03-04,15.06,141,20.87
472,182227,2025-03-21,39.34,120,36.93
473,227644,2025-02-09,17.37,83,22.23
474,164077,2025-10-21,69.05,83,38.52
475,114953,2025-10-06,57.16,112,9.96
476,202806,2025-09-13,16.03,140,5.33
477,173903,2025-04-20,2.17,63,36.72
478,225482,2025-02-17,30.47,140,29.28
479,216618,2025-08-20,11.02,112,24.81
480,162355,2025-03-23,38.51,25,36.1
481,324900,2025-06-23,9.24,149,10.51
482,384788,2025-04-23,10.04,158,3.32
483,72907,2025-10-05,19.54,32,14.25
484,333883,2025-11-06,1.0,129,13.44
485,348896,2025-02-09,4.65,138,21.57
486,448713,2025-01-30,47.66,64,18.81
487,122480,2025-09-12,78.42,116,4.49
488,334497,2025-08-28,5.33,150,28.54
489,429741,2025-07-02,37.01,83,19.98
490,259681,2025-07-03,2.97,69,33.22
491,233094,2025-02-11,16.0,57,38.52
492,335655,2025-05-07,17.76,105,4.14
493,302388,2025-03-23,20.74,135,36.04
494,150573,2025-08-21,11.21,35,15.83
495,185652,2025-11-05,48.47,179,13.21
496,356177,2025-07-11,9.04,91,34.61
497,254289,2025-01-01,16.6,73,19.34
498,65288,2025-12-28,5.39,155,30.22
499,356942,2025-07-26,21.27,46,33.59
500,388226,2025-07-16,5.49,81,20.31
501,207786,2025-10-10,6.91,126,6.41
502,225482,2025-01-17,14.38,165,6.74
503,452230,2025-11-15,8.13,127,38.52
504,226492,2025-06-18,1.02,168,38.83
505,115165,2025-07-05,39.79,85,11.54
506,456689,2025-05-02,42.89,24,7.37
507,169910,2025-08-12,57.74,147,39.07
508,429586,2025-05-07,97.66,132,29.67
509,182002,2025-06-15,3.0,64,31.4
510,306302,2025-05-02,8.02,140,14.55
511,171697,2025-11-18,24.9,130,3.28
512,359820,2025-08-08,52.26,39,15.66
513,384363,2025-10-06,4.43,131,9.61
514,71024,2025-05-28,16.52,53,33.47
515,334138,2025-10-19,96.33,136,16.71
516,162264,2025-09-04,10.05,29,35.24
517,351942,2025-07-07,16.89,174,33.23
518,202332,2025-01-11,29.59,78,28.4
519,238222,2025-10-11,13.69,66,24.43
520,188043,2025-02-14,31.61,113,33.87
521,180101,2025-05-04,3.99,38,36.24
522,162168,2025-09-04,6.55,137,37.22
523,145764,2025-12-03,12.23,128,29.83
524,357000,2025-06-08,100.0,104,27.07
525,183389,2025-09-24,10.72,115,15.87
526,181849,2025-10-19,61.79,55,25.38
527,225676,2025-03-19,51.96,37,33.85
528,143244,2025-10-18,35.24,33,22.77
529,450022,2025-05-31,11.56,153,23.06
530,143224,2025-10-12,10.03,65,31.19
531,334449,2025-05-31,25.52,61,25.24
532,346837,2025-05-04,6.62,32,17.45
533,192998,2025-08-16,11.18,106,18.72
534,102351,2025-09-29,42.2,46,15.31
535,447195,2025-12-25,5.92,179,12.02
536,168489,2025-12-06,44.02,158,12.88
537,183106,2025-08-05,20.07,147,13.1
538,321151,2025-05-27,17.91,122,27.49
539,456697,2025-08-06,23.77,103,38.08
540,115020,2025-04-06,24.95,70,34.1
541,450122,2025-02-19,20.43,134,29.59
542,115071,2025-02-12,30.22,130,23.79
543,115089,2025-01-19,11.08,153,30.06
544,252597,2025-04-23,41.61,54,6.61
545,257254,2025-08-01,6.25,24,15.41
546,391791,2025-01-18,31.32,137,20.94
547,174456,2025-05-14,12.17,115,14.12
548,170240,2025-10-18,29.67,150,27.19
549,452230,2025-01-14,1.0,139,9.6
550,353508,2025-03-05,12.37,115,17.45
551,237652,2025-06-12,82.5,171,38.16
552,303191,2025-09-15,21.27,175,23.8
553,258971,2025-01-06,17.29,105,29.36
554,261699,2025-12-21,7.11,60,16.15
555,154060,2025-05-01,16.91,85,33.17
556,454170,2025-06-02,43.35,37,15.59
557,374657,2025-11-25,10.33,134,10.24
558,324807,2025-06-27,20.8,105,18.41
559,223103,2025-03-04,27.99,19,11.38
560,173963,2025-09-15,12.81,153,28.11
561,405332,2025-03-06,8.32,87,6.59
562,223275,2025-12-23,4.23,123,29.41
563,346625,2025-07-06,2.67,143,36.45
564,193843,2025-08-15,6.9,94,35.67
565,441020,2025-07-18,1.0,92,30.33
566,182260,2025-10-21,35.7,54,15.73
567,181932,2025-09-08,2.96,78,39.16
568,324758,2025-11-14,57.31,159,32.09
569,115075,2025-07-12,17.87,87,38.0
570,164403,2025-04-29,15.26,129,24.23
571,183178,2025-06-28,1.67,174,33.61
572,428432,2025-02-21,3.58,56,11.79
573,341748,2025-04-20,48.58,21,16.62
574,122698,2025-08-12,27.93,157,27.28
575,396999,2025-11-26,2.48,146,4.96
576,383911,2025-04-08,28.58,154,8.09
577,167467,2025-11-15,3.51,74,38.77
578,371931,2025-02-17,32.98,69,16.63
579,115219,2025-04-11,72.31,127,13.42
580,399675,2025-08-28,35.51,55,22.03
581,227086,2025-03-15,43.4,142,7.67
582,324862,2025-02-07,24.23,145,11.38
583,332704,2025-08-04,1.0,153,7.27
584,185652,2025-05-16,38.45,130,5.68
585,228090,2025-01-06,12.94,84,17.29
586,449371,2025-09-04,51.6,74,20.99
587,334434,2025-11-20,21.26,117,3.7
588,230965,2025-07-16,5.32,55,8.77
589,356937,2025-04-21,1.41,50,29.1
590,387610,2025-10-15,20.25,166,23.37
591,123141,2025-02-07,20.92,71,12.26
592,162369,2025-04-25,49.16,69,16.12
593,331867,2025-07-04,1.0,124,8.75
594,165304,2025-07-31,43.05,140,36.73
595,222224,2025-12-31,13.01,121,36.29
596,150614,2025-09-12,18.79,56,22.95
597,451465,2025-11-16,19.06,143,34.63
598,346157,2025-11-06,12.04,98,20.65
599,375216,2025-04-23,5.14,23,33.06
600,165395,2025-09-27,2.05,109,24.6
601,182707,2025-11-16,5.8,169,15.08
602,387754,2025-06-24,31.32,164,17.67
603,324807,2025-11-06,28.66,179,5.45
604,235868,2025-01-19,28.13,39,10.86
605,240889,2025-07-22,59.56,17,17.82
606,227689,2025-05-06,15.26,17,19.89
607,115052,2025-09-11,35.59,135,4.79
608,182683,2025-11-12,27.58,59,21.05
609,175039,2025-09-12,69.13,137,34.7
610,203019,2025-10-15,27.7,138,8.7
611,174451,2025-10-19,4.97,51,12.66
612,121285,2025-06-01,34.09,48,32.86
613,164152,2025-07-18,11.08,125,31.73
614,396279,2025-07-18,7.36,109,15.11
615,115042,2025-10-29,8.15,144,29.97
616,122961,2025-06-24,43.59,87,23.28
617,181130,2025-09-27,15.08,108,17.04
618,187342,2025-06-29,15.83,103,3.9
619,193842,2025-08-06,1.0,43,19.56
620,350192,2025-04-28,7.87,28,18.63
621,359128,2025-11-02,53.72,42,5.65
622,391791,2025-11-17,17.23,150,7.71
623,448240,2025-11-29,13.46,53,19.14
624,143573,2025-11-16,1.92,57,3.57
625,397841,2025-01-23,8.68,51,37.35
626,102333,2025-05-05,3.52,41,29.32
627,221985,2025-03-25,4.49,87,39.76
628,221196,2025-07-18,10.34,91,10.69
629,329831,2025-11-22,1.74,55,13.3
630,356977,2025-07-06,37.66,162,11.04
631,235900,2025-11-25,24.31,158,34.06
632,397841,2025-04-02,40.2,167,15.11
633,193979,2025-11-26,10.69,81,4.64
