Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access,RD Blends,RD Blends (French),RD Blended with Biodiesel,RD Maximum Biodiesel Level,NPS Unit Name,CNG Station Sells Renewable Natural Gas,LNG Station Sells Renewable Natural Gas,Maximum Vehicle Class,EV Workplace Charging,Funding Sources
ELEC,Huttig Nissan,4670 State Route 9,,Plattsburgh,NY,12901,,518-561-1210,E,,Private,,,,,,,1,,,Non-Networked,,200-9,44.667361,-73.444894,2024-02-12,44183,2025-02-12 00:16:32 UTC,P,,,2011-11-30,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,,false,
ELEC,Nissan City - Port Chester,225 Boston Post Rd,,Port Chester,NY,10573,,914-937-1777,E,,Private,,,,,,,1,,,Non-Networked,,GPS,40.996244,-73.669433,2026-01-13,44185,2026-02-02 23:16:24 UTC,P,,,2011-11-30,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,,false,
ELEC,Riverhead Auto Mall,1800 Old Country Rd,,Riverhead,NY,11901,,631-369-0600,E,,Public - Call ahead,Dealership business hours,,,,,,2,2,,Non-Networked,,200-8,40.92423,-72.70479,2024-02-12,44186,2025-02-12 00:16:32 UTC,P,,,2011-11-30,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Riverhead Auto Mall,1800 Old Country Rd,,Riverhead,NY,11901,,631-369-0600,E,,Private,,,,,,,1,,,Non-Networked,,200-8,40.92423,-72.70479,2024-02-12,44187,2025-02-12 00:16:32 UTC,P,,,2011-11-30,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,LD,false,
ELEC,Dorschel Nissan,3817 W Henrietta Rd,,Rochester,NY,14623,,585-334-9440,E,,Public - Call ahead,Dealership business hours,,,,,,3,,,Non-Networked,,200-8,43.077581,-77.641934,2024-02-12,44188,2025-02-12 00:16:32 UTC,P,,,2011-11-30,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Dorschel Nissan,3817 W Henrietta Rd,,Rochester,NY,14623,,585-334-9440,E,,Private,,,,,,,1,,,Non-Networked,,200-8,43.077581,-77.641934,2024-02-12,44189,2025-02-12 00:16:32 UTC,P,,,2011-11-30,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,,false,
ELEC,Nissan of Smithtown,535 Middle Country Rd,,St. James,NY,11780,,,E,,Public - Call ahead,Dealership business hours; contact 631-361-9696 for more information,,,,,,1,1,,Non-Networked,,200-8,40.86019,-73.16156,2024-02-12,44190,2025-02-12 00:16:32 UTC,P,,,2011-11-30,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Nissan of Smithtown,535 Middle Country Rd,,St. James,NY,11780,,,E,,Private,,,,,,,1,,,Non-Networked,,200-8,40.86019,-73.16156,2024-02-12,44191,2025-02-12 00:16:32 UTC,P,,,2011-11-30,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,LD,false,
ELEC,Lia Nissan,2233 Central Ave,,Schenectady,NY,12304,,518-579-2000,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,GPS,42.764443755,-73.884715068,2026-01-13,44192,2026-02-02 23:16:24 UTC,P,,,2011-11-30,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Legend Nissan,268 Jericho Turnpike,,Syosset,NY,11791,,516-496-8181,E,,Private,,,,,,,1,,,Non-Networked,,GPS,40.809477,-73.50791,2026-01-13,44198,2026-02-02 23:16:24 UTC,P,,,2011-11-30,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,LD,false,
ELEC,Serafini Nissan-Volvo,3101 Vestal Pkwy E,,Vestal,NY,13850,,607-729-3511,E,,Private,,,,,,,1,,,Non-Networked,,GPS,42.095909,-76.003769,2026-01-13,44205,2026-02-02 23:16:24 UTC,P,,,2011-11-30,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,,false,
ELEC,Poughkeepsie Nissan,1445 Route 9,,Wappingers Falls,NY,12590,,845-297-4314,E,,Private,,,,,,,1,,,Non-Networked,,GPS,41.587098,-73.908662,2026-01-13,44207,2026-02-02 23:16:24 UTC,P,,,2011-11-30,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,,false,
ELEC,Vision Nissan,785 Ridge Rd,,Webster,NY,14580,,585-787-2000,E,,Private,,,,,,,1,,,Non-Networked,,GPS,43.204485,-77.478415,2026-01-13,44209,2026-02-02 23:16:24 UTC,P,,,2011-11-30,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,,false,
ELEC,Nissan of Westbury,939 Old Country Rd,,Westbury,NY,11590,,516-338-5600,E,,Private,,,,,,,1,,,Non-Networked,,GPS,40.754286,-73.562,2026-01-13,44213,2026-02-02 23:16:24 UTC,P,,,2011-11-30,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,LD,false,
ELEC,West Herr Nissan - Williamsville,8137 Main St,,Williamsville,NY,14221,,877-813-5387,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,GPS,42.96275,-78.691132,2024-02-12,44216,2025-02-12 00:16:32 UTC,P,,,2011-11-30,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,,false,
ELEC,Destination Nissan,770 Central Ave,,Albany,NY,12206,,518-438-8461,E,,Private,,,,,,,1,,,Non-Networked,,GPS,42.676771,-73.78738,2026-01-13,44318,2026-02-02 23:16:24 UTC,P,,,2011-11-30,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,,false,
ELEC,Lebrun Nissan,396 Grant Ave,,Auburn,NY,13021,,315-253-7700,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,42.966894,-76.535879,2024-02-12,44321,2025-02-12 00:16:32 UTC,P,,,2011-11-30,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,,false,
ELEC,Star Nissan,20602 Northern Blvd,,Bayside,NY,11361,,718-423-0500,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-8,40.758245,-73.776954,2024-02-12,44323,2025-02-12 00:16:32 UTC,P,,,2011-11-30,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Star Nissan,20602 Northern Blvd,,Bayside,NY,11361,,718-423-0500,E,,Private,,,,,,,1,,,Non-Networked,,200-8,40.758245,-73.776954,2024-02-12,44324,2025-02-12 00:16:32 UTC,P,,,2011-11-30,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,,false,
ELEC,Rockland Nissan,608 Route 303,,Blauvelt,NY,10913,,845-358-6700,E,,Private,,,,,,,1,,,Non-Networked,,GPS,41.070817,-73.950961,2026-01-13,44326,2026-02-02 23:16:24 UTC,P,,,2011-11-30,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,,false,
ELEC,Bay Ridge Nissan,6501 5th Ave,,Brooklyn,NY,11220,,718-238-8000,E,,Private,,,,,,,1,,,Non-Networked,,200-9,40.636324,-74.019228,2024-02-12,44328,2025-02-12 00:16:32 UTC,P,,,2011-11-30,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,,false,
ELEC,Kings Nissan,2758 Coney Island Ave,,Brooklyn,NY,11235,,718-376-0538,E,,Public - Call ahead,Dealership business hours; Nissan vehicle use only,,,,,,1,,,Non-Networked,,200-9,40.589167,-73.960707,2024-02-12,44329,2025-02-12 00:16:32 UTC,P,,,2011-11-30,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,true,,,,,,,,LD,false,
ELEC,Kings Nissan,2758 Coney Island Ave,,Brooklyn,NY,11235,,718-376-0538,E,,Private,,,,,,,1,,,Non-Networked,,200-9,40.589167,-73.960707,2024-02-12,44330,2025-02-12 00:16:32 UTC,P,,,2011-11-30,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,,false,
ELEC,Burdick Nissan,5885 E Circle Dr,,Cicero,NY,13039,,315-458-8915,E,,Private,,,,,,,1,,,Non-Networked,,GPS,43.149877,-76.112359,2026-01-13,44332,2026-02-02 23:16:24 UTC,P,,,2011-11-30,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,,false,
ELEC,Hoselton Nissan,66 Marsh Rd,,East Rochester,NY,14445,,585-385-3560,E,,Private,,,,,,,1,,,Non-Networked,,GPS,43.100002,-77.481352,2026-01-13,44334,2026-02-02 23:16:24 UTC,P,,,2011-11-30,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,,false,
ELEC,Rockaway Nissan,600 Burnside Ave,,Inwood,NY,11096,,516-239-0100,E,,Private,,,,,,,1,,,Non-Networked,,GPS,40.622206,-73.743192,2026-01-13,44337,2026-02-02 23:16:24 UTC,P,,,2011-11-30,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,,false,
ELEC,Maguire Family of Dealerships,504 S Meadow St,,Ithaca,NY,14850,,607-272-8000,E,,Private,,,,,,,1,,,Non-Networked,,200-9,42.435042,-76.5088,2024-02-12,44339,2025-02-12 00:16:32 UTC,P,,,2011-11-30,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,,false,
ELEC,Treiber Nissan,320 N Comrie Ave,,Johnstown,NY,12095,,518-736-1300,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,43.025044,-74.358103,2024-02-12,44344,2025-02-12 00:16:32 UTC,P,,,2011-11-30,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Treiber Nissan,320 N Comrie Ave,,Johnstown,NY,12095,,518-736-1300,E,,Private,,,,,,,1,,,Non-Networked,,200-9,43.025044,-74.358103,2024-02-12,44345,2025-02-12 00:16:32 UTC,P,,,2011-11-30,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,,false,
ELEC,Nissan - Garden City,316 N Franklin St,,Hempstead,NY,11550,,,E,,Public - Call ahead,Dealership business hours; contact 516-483-4400 for more information,,,,,,1,1,,Non-Networked,,GPS,40.71692,-73.630173,2026-01-13,44346,2026-02-02 23:16:24 UTC,P,,,2011-11-30,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Simmons Rockwell Nissan,224 Colonial Dr,,Horseheads,NY,14845,,,E,,Private,,,,,,,1,,,Non-Networked,,GPS,42.16246,-76.867436,2026-01-13,44349,2026-02-02 23:16:24 UTC,P,,,2011-11-30,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,LD,false,
ELEC,Nissan - Huntington,850 E Jericho Turnpike,,Huntington Station,NY,11746,,,E,,Public - Call ahead,Dealership business hours; contact 631-439-7000 for more information,,,,,,1,1,,Non-Networked,,GPS,40.8343232,-73.3799114,2026-01-13,44350,2026-02-02 23:16:24 UTC,P,,,2011-11-30,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,West Herr Nissan,6069 S Transit Rd,,Lockport,NY,14094,,716-625-8889,E,,Private,,,,,,,1,,,Non-Networked,,GPS,43.12861,-78.69573,2026-01-13,44355,2026-02-02 23:16:24 UTC,P,,,2011-11-30,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,,false,
ELEC,Nissan Kia - Middletown,4961 Route 17M,,New Hampton,NY,10958,,845-374-6555,E,,Private,,,,,,,1,,,Non-Networked,,GPS,41.408615,-74.413307,2026-01-13,44359,2026-02-02 23:16:24 UTC,P,,,2011-11-30,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,,false,
ELEC,Nissan of New Rochelle,2533 Palmer Ave,,New Rochelle,NY,10801,,914-576-7600,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,200-8,40.919104,-73.776645,2024-02-12,44360,2025-02-12 00:16:32 UTC,P,,,2011-11-30,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Nissan of New Rochelle,2533 Palmer Ave,,New Rochelle,NY,10801,,914-576-7600,E,,Private,,,,,,,1,,,Non-Networked,,200-8,40.919104,-73.776645,2024-02-12,44361,2025-02-12 00:16:32 UTC,P,,,2011-11-30,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,LD,false,
ELEC,Baron Nissan,235 Glen Cove Rd,,Greenvale,NY,11548,,516-621-2300,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,GPS,40.817341,-73.625862,2026-01-13,47721,2026-02-02 23:16:24 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Vision Nissan Greece,4000 W Ridge Rd,,Rochester,NY,14626,,585-227-3800,E,,Public,Dealership business hours,,,,,,1,,,Non-Networked,,GPS,43.216,-77.736406,2026-01-13,49676,2026-02-02 23:16:24 UTC,P,,,2012-06-05,,,,,J1772,US,,,,Public,,public,,,CAR_DEALER,,,,,,,,,,,,,,,,,true,,,,,,,,LD,false,
ELEC,Central Avenue Nissan,1919 Central Park Ave,,Yonkers,NY,10710,,,E,,Private,,,,,,,2,,,Non-Networked,,GPS,40.964468,-73.840035,2026-01-13,49679,2026-02-02 23:16:24 UTC,P,,,2012-10-25,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,,false,
ELEC,Shults Nissan,311 Fluvanna Ave,,Jamestown,NY,14701,,716-484-2780,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,42.115661,-79.253776,2024-02-12,49932,2025-02-12 00:16:32 UTC,P,,,2012-10-25,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,,false,
ELEC,Shults Nissan,311 Fluvanna Ave,,Jamestown,NY,14701,,716-484-2780,E,,Private,,,,,,,1,,,Non-Networked,,200-9,42.115661,-79.253776,2024-02-12,49933,2025-02-12 00:16:32 UTC,P,,,2012-10-25,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,,false,
ELEC,Nissan of Queens,9325 Rockaway Blvd,,Ozone Park,NY,11417,,718-835-8300,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-8,40.68106,-73.84554,2024-02-12,49938,2025-02-12 00:16:32 UTC,P,,,2012-10-25,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Nissan of Queens,9325 Rockaway Blvd,,Ozone Park,NY,11417,,718-835-8300,E,,Private,,,,,,,1,,,Non-Networked,,200-8,40.68106,-73.84554,2024-02-12,49939,2025-02-12 00:16:32 UTC,P,,,2012-10-25,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,,false,
ELEC,Town of Penfield - Library,1985 Baird Rd,,Penfield,NY,14526,,585-340-8720,E,,Public,6am-9pm daily,,,,,,1,,,Non-Networked,,200-9,43.137476,-77.465214,2023-03-08,49941,2025-10-24 16:43:53 UTC,LG,,,2012-04-01,,,,,J1772,US,,,,Public,,public,,,LIBRARY,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,WOODLAKE STATION 2,61 Woodlake Rd N,,Albany,NY,12203,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,42.677214,-73.847115,2026-04-20,51095,2026-04-20 01:38:56 UTC,,,,2013-02-15,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,false,
ELEC,Lucas Ford,3245 Hortons Ln,,Southold,NY,11971,,,E,,Public,Dealership business hours; Dealership permission required,,,,,,2,,,Non-Networked,,200-9,41.069942,-72.43726,2024-08-15,52063,2025-02-12 00:16:32 UTC,P,,,2013-02-01,,,,,J1772,US,,,,Public,,public,,,CAR_DEALER,,,,,,,Free,,,,,,,,,,true,,,,,,,,LD,false,
ELEC,Ruge's Chevrolet,3692 Route 44,,Millbrook,NY,12545,,845-444-3039,E,,Public - Call ahead,Dealership business hours; for customer use only,,,,,,1,,,Non-Networked,,200-9,41.791563,-73.659717,2025-11-13,53442,2026-02-02 23:16:24 UTC,P,,,2012-10-01,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,true,,,,,,,,LD,false,
ELEC,Autosaver Ford,11125 State Route 22,,Comstock,NY,12821,,,E,,Private,Dealership use only,,,,,,2,,,Non-Networked,,200-9,43.456212,-73.383459,2024-03-14,53894,2025-02-12 00:16:32 UTC,P,,,2013-04-01,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,LD,false,
ELEC,Steet-Ponte Ford Lincoln Mazda,5074 Commercial Dr,,Yorkville,NY,13495,,315-736-3381,E,,Public - Call ahead,Dealership business hours,,,,,,3,,,Non-Networked,,200-9,43.110055,-75.293478,2023-09-14,53976,2025-12-18 14:53:25 UTC,P,,,2013-11-01,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,,false,
ELEC,ADELPHI UNIV STATION 01,1 South Ave,,Garden City,NY,11530,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,40.719618,-73.649987,2026-04-20,60739,2026-04-20 01:46:02 UTC,,,,2014-03-14,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,false,
ELEC,ROCHESTER NY PORT OF ROCH 1,1000 N River St,Island in front of Bill Grays,Rochester,NY,14612,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,43.256302,-77.606672,2026-04-20,61213,2026-04-20 01:40:19 UTC,,,,2014-04-12,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,false,
ELEC,ROCHESTER NY PUBLC MARKET,39 Trinidad St,"Public Market Parking Lot off Trinidad St, across the street from the Public Market",Rochester,NY,14605,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,43.16603,-77.591324,2026-04-20,62307,2026-04-20 01:40:09 UTC,,,,2014-06-28,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,false,
ELEC,Village of Spencerport - Town Hall,27 West Ave,Located behind the Village office at South Union Street (Rt. 259),Spencerport,NY,14559,,585-352-4771,E,,Public,24 hours daily,,,,,,2,,,Non-Networked,,GPS,43.191311,-77.801933,2024-03-14,63140,2025-02-12 00:16:32 UTC,LG,,,2014-07-20,,,,,J1772,US,,,,Public,,public,,,MUNI_GOV,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
